node,num_actors,actors,degree,betweenness
DATA,7,INPUT CAPTURE;NETWORK SNIFFING;VIDEO CAPTURE;AdFind;CARBANAK;ADFIND;SCREEN CAPTURE,228,0.0
COSMICDUKE,3,SCREEN CAPTURE;APT29;INPUT CAPTURE,18,0.0
COMMAND AND SCRIPTING INTERPRETER,2,APT29;CARBANAK,26,9.071842028807966e-05
INGRESS TOOL TRANSFER,2,APT29;CARBANAK,22,0.00011372843890510503
REMOTE SERVICES,2,APT29;CARBANAK,17,8.278213753277507e-05
APPLICATION LAYER PROTOCOL,2,APT29;CARBANAK,16,4.260004365172704e-05
OBFUSCATED FILES OR INFORMATION,2,APT29;CARBANAK,14,4.274597481052767e-05
PROCESS INJECTION,2,APT29;CARBANAK,13,4.7736242785913835e-05
USER EXECUTION,2,APT29;CARBANAK,12,4.2777311525487766e-05
COZYDUKE,2,SCREEN CAPTURE;APT29,12,0.0
SYSTEM INFORMATION DISCOVERY,2,APT29;CARBANAK,12,2.0718771294693153e-05
REMOTE ACCESS SOFTWARE,2,APT29;CARBANAK,12,4.593298337985667e-05
DATA FROM LOCAL SYSTEM,2,APT29;CARBANAK,10,1.6886260320751128e-05
MASQUERADING,2,APT29;CARBANAK,9,6.164037148928503e-06
CREATE OR MODIFY SYSTEM PROCESS,2,APT29;CARBANAK,9,4.0289566478653136e-05
CREDENTIAL DUMPING,2,APT29;CARBANAK,8,2.1796363348741526e-05
ANUNAK,2,SCREEN CAPTURE;INPUT CAPTURE,8,0.0
EXFILTRATION OVER C2 CHANNEL,2,APT29;CARBANAK,7,7.649072064012246e-06
FILE AND DIRECTORY DISCOVERY,2,APT29;CARBANAK,7,6.153650587173846e-06
DATA ENCODING,2,APT29;CARBANAK,6,8.522674595167967e-06
ENCRYPTED CHANNEL,2,APT29;CARBANAK,6,2.5669066121483625e-05
SYSTEM SERVICES,2,APT29;CARBANAK,6,4.29368316733359e-06
ACCOUNT DISCOVERY,2,APT29;ADFIND,6,8.87440031696939e-06
